,ENH_Strasse,ENH_Hausnummer,ENH_Plz,ENH_Ort,ENH_Bruttoleistung,ENH_Breitengrad,ENH_Laengengrad,ENH_InbetriebnahmeDatum,ENH_Betriebsstatus
47,Kaiserstraße,223,76133,Karlsruhe,42.8,49.009781,8.393247,2009-03-09 00:00:00,In Betrieb
48,Ottostraße,3d,76227,Karlsruhe,251.875,48.995967,8.447154,2011-12-08 00:00:00,In Betrieb
49,Wikingerstraße,18,76189,Karlsruhe,251.68,49.020295,8.341882,2011-12-12 00:00:00,In Betrieb
50,Eichelbergstraße,36a,76189,Karlsruhe,32.42,48.99708,8.348595,2011-11-30 00:00:00,In Betrieb
51,Babbergerstraße,15,76189,Karlsruhe,41.4,49.005023,8.318075,2010-06-24 00:00:00,In Betrieb
52,Weinweg,43,76137,Karlsruhe,199.5,49.00637,8.443831,2011-06-30 00:00:00,In Betrieb
53,Im Schlehert,30,76187,Karlsruhe,68.4,49.018935,8.319619,2011-06-24 00:00:00,In Betrieb
54,Im Langbruch,1,76149,Karlsruhe,60.9,49.064547,8.374346000000001,2010-06-30 00:00:00,In Betrieb
55,Thüringer Straße,11,76228,Karlsruhe,39.0,48.952893,8.478038,2014-06-27 00:00:00,In Betrieb
56,Gablonzer Straße,4,76185,Karlsruhe,31.02,49.022519,8.354839,2011-11-25 00:00:00,In Betrieb
57,Am Sandfeld,21,76149,Karlsruhe,33.36,49.04190300000001,8.392286,2011-11-30 00:00:00,In Betrieb
58,Wikingerstraße,9a,76189,Karlsruhe,62.745,49.019675,8.341287,2010-06-18 00:00:00,In Betrieb
59,Heinrich-Wittmann-Straße,21,76131,Karlsruhe,57.35,49.0095,8.4432,2010-06-29 00:00:00,In Betrieb
60,Eugen-Geiger-Straße,5,76187,Karlsruhe,41.8,49.033035,8.357438,2011-12-16 00:00:00,In Betrieb
61,An der Rossweid,9,76229,Karlsruhe,175.31,49.029896,8.470388999999999,2010-06-16 00:00:00,In Betrieb
62,Moltkestraße,9,76133,Karlsruhe,44.16,49.014313,8.392241,2009-09-28 00:00:00,In Betrieb
63,Am Mühlburger Bahnhof,10,76189,Karlsruhe,69.52,49.015554,8.351255,2011-10-31 00:00:00,In Betrieb
64,Schäferstraße,15,76139,Karlsruhe,35.28,49.02803400000001,8.460393,2012-03-29 00:00:00,In Betrieb
65,Im Brühl,7,76229,Karlsruhe,39.6,49.030579,8.490938,2010-05-20 00:00:00,In Betrieb
66,Hardeckstraße,7,76185,Karlsruhe,39.48,48.99877,8.362844,2011-10-04 00:00:00,In Betrieb
67,Durmersheimer Straße,57,76185,Karlsruhe,708.4,49.002085,8.354284,2010-05-31 00:00:00,In Betrieb
68,Wachhausstraße,28,76227,Karlsruhe,41.16,48.991943,8.438595,2014-04-10 00:00:00,In Betrieb
69,Am Storrenacker,10,76139,Karlsruhe,184.0,49.01883400000001,8.467405,2010-06-30 00:00:00,In Betrieb
70,Ohmstraße,6,76229,Karlsruhe,132.0,49.025761,8.473664,2011-11-17 00:00:00,In Betrieb
71,Brauerstraße,30,76135,Karlsruhe,31.2,49.001712,8.385072000000001,2011-06-27 00:00:00,In Betrieb
72,Printzstraße,15,76139,Karlsruhe,69.105,49.023406,8.463236,2016-01-04 00:00:00,In Betrieb
73,Ettlinger Straße,8,76137,Karlsruhe,33.39,48.999003,8.403236999999999,2014-07-31 00:00:00,In Betrieb
74,Blumenstraße,1,76133,Karlsruhe,43.12,49.007255,8.398736999999999,2012-07-16 00:00:00,In Betrieb
75,Kohlenstraße,1,76185,Karlsruhe,58.8,49.006061,8.360599,2012-09-28 00:00:00,In Betrieb
76,Grünhutstraße,12,76187,Karlsruhe,64.86,49.038475,8.35191,2011-06-27 00:00:00,In Betrieb
77,Im Kleinen Bruch,3,76149,Karlsruhe,255.0,49.064965,8.370899,2015-03-30 00:00:00,In Betrieb
78,Bannwaldallee,46,76185,Karlsruhe,49.35,48.996581,8.371127,2012-03-12 00:00:00,In Betrieb
79,Daxlander Straße,72,76185,Karlsruhe,56.58,49.007651,8.342694999999999,2011-08-19 00:00:00,In Betrieb
80,Grazer Straße,25,76227,Karlsruhe,40.08,48.991718,8.454475,2012-03-14 00:00:00,In Betrieb
81,Unterreut,3,76135,Karlsruhe,108.19,48.994004,8.370703,2010-12-27 00:00:00,In Betrieb
82,Killisfeldstraße,46,76227,Karlsruhe,118.56,48.99645200000001,8.451647,2014-07-25 00:00:00,In Betrieb
83,Nancystraße,18,76187,Karlsruhe,30.375,49.02055,8.371354,2009-05-07 00:00:00,In Betrieb
84,Schoemperlenstraße,12a,76185,Karlsruhe,311.3040000000001,49.023311,8.351635,2011-12-31 00:00:00,In Betrieb
85,Herrenstraße,45a,76133,Karlsruhe,78.0,49.006778,8.39631,2011-12-01 00:00:00,In Betrieb
86,An der Rossweid,1,76229,Karlsruhe,59.5,49.029589,8.472325999999999,2011-05-27 00:00:00,In Betrieb
87,Printzstraße,15,76139,Karlsruhe,64.05,49.023406,8.463236,2009-06-24 00:00:00,In Betrieb
88,Greschbachstraße,16,76229,Karlsruhe,52.2,49.033479,8.474188999999999,2009-07-01 00:00:00,In Betrieb
89,Babbergerstraße,9,76189,Karlsruhe,62.4,49.004804,8.319732,2010-06-04 00:00:00,In Betrieb
90,Im Bipples,25,76187,Karlsruhe,99.96,49.03721,8.334901,2013-02-20 00:00:00,In Betrieb
91,Liststraße,22,76185,Karlsruhe,45.88,49.007681,8.358054,2009-12-07 00:00:00,In Betrieb
92,Emil-Nolde-Straße,2,76227,Karlsruhe,62.5,48.987848,8.47049,2012-06-30 00:00:00,In Betrieb
93,Tiengener Straße,2,76227,Karlsruhe,99.96,49.005092,8.479201,2016-02-26 00:00:00,In Betrieb
94,Wachhausstraße,3,76227,Karlsruhe,86.48,48.991023,8.446945,2009-08-21 00:00:00,In Betrieb
95,Borsigstraße,11,76185,Karlsruhe,82.8,49.020943,8.354288,2011-12-27 00:00:00,In Betrieb
96,Rittnertstraße,202,76227,Karlsruhe,98.98,48.970639,8.501859,2012-03-07 00:00:00,In Betrieb
97,Junkersstraße,14,76139,Karlsruhe,193.5,49.023162,8.465249,2010-06-28 00:00:00,In Betrieb
98,Schoemperlenstraße,12,76185,Karlsruhe,250.7,49.022114,8.350511000000001,2010-06-21 00:00:00,In Betrieb
99,Waldbronner Straße,20,76228,Karlsruhe,39.98,48.941692,8.475983,2012-03-13 00:00:00,In Betrieb
